c5,remark,,,,,,,,
,,,,,,,,,
AIR TOUR OPERATORS ALL WANT TO BE NEAR THE SAME LANDMARKS WHICH GIVE THE PASSENGERS THE BEST VIEWS. THIS PROVIDES AN OPPORTUNITY TO HAVE MULTIPLE AIRCRAFT IN NEAR PROXIMITY TO EACH OTHER AND INCREASES THE CHANCES FOR MID AIR COLLISIONS. ALSO THE FAA SHOULD VERIFY HOW ADS-B COCKPIT DISPLAYS MIGHT BE MODIFIED TO ENHANCE TRAFFIC AWARENESS,,,,,,,,,
,,,,,,,,,
THIS RECORD MAY BE AMENDED AT A FUTURE DATE,,,,,,,,,
20190513016771A,?,"ON MONDAY, MAY 13, 2019 AT APPROXIMATELY 1221 PM ADT, TWO DE HAVILLAND FLOATPLANES COLLIDED EIGHT MILES NORTHEAST OF KETCHIKAN, ALASKA (GEORGE INLET) AT AN ESTIMATED ALTITUDE OF 3350 FEET. THE FIRST AIRCRAFT (#1), N952DB, A DE HAVILLAND DHC-2 ?BEAVER? WAS OPERATED BY MOUNTAIN AIR SERVICE -  CARRYING ONE PILOT AND FOUR PASSENGERS.  THE SECOND AIRCRAFT (#2), N959PA, A DE HAVILLAND DHC-3 ?OTTER? WAS OPERATED BY TAQUAN AIR - CARRYING ONE PILOT AND TEN PASSENGERS.  BOTH FLIGHTS WERE OPERATING UNDER THE PROVISIONS OF PART 135.  VISUAL METEOROLOGICAL CONDITIONS PREVAILED AT THE TIME OF THE ACCIDENT.",,,,,,,
?,THE U.S. COAST GUARD RESPONDED WITH ONE HELICOPTER AND TWO USCG VESSELS.  ALL FIVE PERSONS ON BOARD AIRCRAFT #1 WERE CONFIRMED FATALITIES (REFERENCE GRAPHIC ON NEXT PAGE).  TEN PERSONS ON BOARD AIRCRAFT #2 WERE RESCUED AND TRANSPORTED TO LOCAL HOSPITALS.  ONE PERSON REMAINS MISSING FROM AIRCRAFT #2.  ALL 14 PASSENGERS ARE GUESTS FROM THE CRUISE SHIP ROYAL PRINCESS. ,,,,,,,,
THIS RECORD MAY BE AMENDED AT A FUTURE DATE.,,,,,,,,,
20190514004429A,PILOT ATTEMPTED LANDING ON HIS OWN PROPERTY AND LOST CONTROL OF AIRCRAFT DURING SOFT FIELD LANDING ATTEMPT. GROUND WAS SOFT AND NOSE WHEEL DUG IN AND AIRCRAFT FLIPPED OVER. PILOT WAS EXTRACTED BY FIRST RESPONDERS AND TAKEN TO HOSPITAL.,,,,,,,,
20190514004439A,"THE BOISE FSDO WAS NOTIFIED OF AN AIRCRAFT THAT CRASHED DURING AN ABORTED TAKEOFF WHILE DEPARTING RUNWAY 9 AT JEROME, ID AIRPORT. ",,,,,,,,
,,,,,,,,,
"THE PILOT?S EMAIL STATEMENT: ?AS PER OUR CONVERSATION THE OTHER DAY, CORSAIR N-965CV WENT TO ^PRIVACY DATA OMITTED^ AIR POWER UNLIMITED SHOP ON OCTOBER 2018 AND THE AIRCRAFT WAS SIGNED OFF ON IT'S ANNUAL THIS MAY 10TH  2019. THIS PAST MONDAY, I WENT TO INSPECT THE AIRCRAFT AND THE NEXT DAY PREPARED THE AIRCRAFT FOR DEPARTURE FOR AN AIR SHOW ""TBM GATHERING""  AT KVYS PERU ILLINOIS. ",,,,,,,,,
,,,,,,,,,
"AFTER AN DETAILED GROUND PRE-CHECK THE AIRCRAFT STARTED AS NORMAL, I TAXIED TO THE DEPARTURE END OF RUNWAY 9 USING THE AIRCRAFT'S CHECK LIST I FOUND ALL SYSTEM READY AND TEMPS IN THE GREEN. I HELD A FEW MINUTES WAITING FOR A CROP-DUSTER TO LAND. NEXT I ANNOUNCED N-965 CV WAS TAKING THE ACTIVE RW 9 AT JEROME AND HOLDING.. HOLDING ON THE RUNWAY I DID MY FINAL COCKPIT CHECK.  I ANNOUNCED ME DEPARTURE AND STARTED MY TAKE OFF ROLL. THE CORSAIR ACCELERATED NOUNALLY. I PINNED THE TAIL UP AND JUST PRIOR TO ROTATION THERE WAS A SHUTTER / AND AUDITABLE NOISE FOLLOWED BY A VERY NOTICEABLE DECELERATION. I INSTINCTIVELY PULLED THE POWERS AND ""VERY"" AGGRESSIVELY ABORTED THE TAKE OFF.?",,,,,,,,,
,,,,,,,,,
"THE PILOT FOLLOW-UP EMAIL STATEMENT: ?IT'S COME TO MY ATTENTION THAT THERE WAS A COMMENT ABOUT ELEVATOR TRIM BEINGS SET WRONG. THIS COMMENT WAS MADE BY MY MECHANIC ^PRIVACY DATA OMITTED^. I TOLD ^PRIVACY DATA OMITTED^ THAT I HAD NEGLECTED TO TURN OFF THE ELECTRICAL SYSTEM ON CORSAIR AFTER THE CRASH. I BELIEVE MORE THAN ONE PERSON HEARD ME SAY I FORGOT TO TURN OFF THE ELECTRICAL. I'M RELATIVELY SURE ^PRIVACY DATA OMITTED^ KNEW AND HEARD THE ELECTRICAL SYSTEM WAS STILL ON WHEN I REMOVED MYSELF FROM THE AIRCRAFT. WITH THE CHINAMAN'S CAB LOCATED ON THE VERY TOP OF THE STACK, I'M SURE I MOVED THE SETTINGS HITTING IT WITH MY HELMET AND OR USING THE STICK TO GET OUT. THERE WAS ONE ANOTHER COMMENT MADE BY ^PRIVACY DATA OMITTED^ THAT THE TAIL WAS HIGH IN THE AIR, YES I ALWAYS FLY THIS TYPE OF AIRPLANE: P 51 OR CORSAIR PINNED TO THE GROUND UNTIL I HAVE POSITIVE SPEED FOR A POSITIVE TAKEOFF. WITH THE ROCKETS ADDING ADDITIONAL DRAG, I WAS LOOKING FOR 95 PLUS KNOTS. THIS PERHAPS IS WHAT ^PRIVACY DATA OMITTED^ WAS LOOKING AT.? ",,,,,,,,,
,,,,,,,,,
"AN EYEWITNESS CAPTURED A VIDEO OF THE EVENT. THE VIDEO SHOWS A CORSAIR ON A DEPARTURE ROLL AND THEN AN ABORTED TAKEOFF. THE ABORTED TAKEOFF APPEARS TO OCCUR AFTER MIDFIELD AND APPROXIMATELY THREE-QUARTERS DOWN RUNWAY 9. THE AIRCRAFT THEN DEVIATED FROM GOING STRAIGHT DOWN THE RUNWAY TO DRIFTING OFF THE RUNWAY TO THE LEFT WITH THE AIRCRAFT PARTIALLY OPERATING IN THE DIRT. THE VIDEO FURTHER SHOWS THE AIRPLANE GOING OFF THE END OF THE RUNWAY, HITTING UNEVEN TERRAIN, THEN BECOMING AIRBORNE GAINING ABOUT 10 VERTICAL FEET, HITTING A CHAIN LINK FENCE AND COMING TO A REST UPRIGHT.",,,,,,,,,
,,,,,,,,,
"THE FAA INSPECTION OF THE AIRCRAFT AFTER IT WAS RELOCATED BACK TO THE JEROME, ID AIRPORT REVEALED THE AIRCRAFT RECEIVED DAMAGE TO THE LEFT INBOARD WING THAT CONTINUED INTO THE WING SPAR. THE LANDING GEAR COLLAPSED AND WAS SUBSTANTIALLY DAMAGE. FURTHERMORE, THE PROP STRUCK THE GROUND AND WAS DAMAGED. ",,,,,,,,,
,,,,,,,,,
ON 6/20/19 FAA AW AND OPS INSPECTOR'S OBSERVED TWO AIR POWER UNLIMITED MAINTENANCE TECHNICIANS CONDUCT AN ENGINE INSPECTION AT THE REQUEST OF NTSB. TWO SPARK PLUGS WERE NOT SPARKING. THE REST OF THE INSPECTION AT THE TIME DID NOT SHOW ANY DISCREPANCIES. THE CARBURETOR WAS REMOVED AND SHIPPED TO NTSB FOR FURTHER INSPECTION. THE FAA AW INSPECTOR STATED NO ITEMS WERE FOUND WHICH IN HIS OPINION COULD HAVE CONTRIBUTED TO THE TAKE OFF ACCIDENT.,,,,,,,,,
,,,,,,,,,
FURTHER REVIEW OF THE AFM THAT WAS LOCATED IN THE AIRPLANE SHOWS THE AIRMAN NEEDED APPROXIMATELY 1200 TO 1500 FEET OF RUNWAY FOR TAKEOFF WITH APPROXIMATELY 74 TO 80 KNOTS OF AIRSPEED TO ROTATE ACCORDING TO THE TAKE-OFF CHART. THE AFM STOPPING DISTANCE CHART SHOWS ABOUT 1500 FEET OF RUNWAY IS NEEDED AT ROTATE SPEED. THE AIRMAN WAS STILL ON TAKEOFF ROLL AT APPROXIMATELY 2500 FEET AND HE APPEARS TO BEING TRAVELING AT 100 TO 130 KNOTS. THE AIRMAN DID NOT ROTATE.,,,,,,,,,
20190514004609A,"PILOT STATED THAT HE FAILED TO LOCK CANOPY. DURING ROTATION, THE CANOPY LIFTED, THE PILOT REACHED UP TO SECURE, AND PUSHED THE YOKE FORWARD CAUSING THE AIRCRAFT TO CONTACT RUNWAY COLLAPSING THE GEAR.",,,,,,,,
20190514004619I,"THIS INCIDENT OCCURRED AT EQY, CHARLOTTE -MONROE EXECUTIVE AIRPORT NOT CLT AS REPORTED",,,,,,,,
,,,,,,,,,
 ^PRIVACY DATA OMITTED^ REPORTED HE WAS PRACTICING WHEEL LANDINGS . THE THIRD LANDING THE AIRCRAFT VEERED AND GROUND LOOPED . THE WEATHER WAS VMC WITH A SLIGHT CROSSWIND ,,,,,,,,,
,,,,,,,,,
COUNSELING BY A QUALIFIED OPERATIONS INSPECTOR IS RECOMMENDED .,,,,,,,,,
,,,,,,,,,
PTRS 201902744,,,,,,,,,
20190514004629A,"STUDENT PILOT GIVEN AUTHORITY TO LAND RUNWAY 17R @ DWH AIRPORT. DURING LANDING ROLL OUT, AS SPEED SLOWED, STUDENT PILOT DRIFTED TOWARDS THE EDGE OF THE RUNWAY AT TAXI WAY D (HIGH SPEED TAXI WAY) RUNWAY EXIT. AIRCRAFT NOSE WHEEL AND SUBSEQUENT MAIN WHEELS LEFT THE RUNWAY/TAXI WAY. NOSE WHEEL ENTERED SHALLOW DRAINAGE DITCH AND AIRCRAFT FLIPPED INVERTED WHEN AIRCRAFT NOSE WHEEL CONTACTED SOLID DRAINAGE CULVERT PIPE. NO INJURIES",,,,,,,,
20190514004649A,"ON MAY 15, 2019 AT APPROXIMATELY 0235Z, AIRCRAFT LOST POWER DUE TO FUEL DEPLETION IN THE LEFT TANK. PIC WAS IN THE TRAFFIC PATTERN ON APPROACH TO LANDING AT 1,000 FEET AGL AND HAD SWITCHED TO WHAT HE THOUGHT WAS THE FULLEST TANK. PIC SWITCHED BACK TO THE RIGHT TANK WHICH HAD FUEL, ACTIVATED THE BOOST PUMP, AND ENGAGED THE STARTER. PIC WAS UNABLE TO RESTORE POWER AND MADE AN EMERGENCY LANDING APPROXIMATELY 1/2 MILE SHORT OF OR96 RUNWAY 33. AIRCRAFT RECEIVED SUBSTANTIAL DAMAGE AND A PASSENGER WAS TREATED FOR MINOR INJURIES.",,,,,,,,
,,,,,,,,,
PIC HAD ORDERED FUEL BEFORE THE FLIGHT BUT DID NOT GET THE QUANTITY THAT WAS ORDERED. PIC DID NOT VERIFY QUANTITY ON BOARD BEFORE DEPARTURE.,,,,,,,,,
20190514023599A,"WHILE TAXIING, PILOT NOTICED VIBRATION, TRIED TO LAND ON TAXIWAY, WHEN HE TOUCHED DOWN, AIRCRAFT ENTERED GROUND RESONANCE.  PILOT TRIED TO LIFT OFF, BUT COULD NOT GET ENOUGH POWER TO LIFT OFF, SO HE LEFT THE AIRCRAFT ON THE GROUND AND WENT TO IDLE WITH THE THROTTLE, WHERE THE GROUND RESONANCE CAUSED DAMAGE.",,,,,,,,
20190515004419I,"MAY 15, 2019 AT 1533 CDT, AIRCRAFT BEARING REGISTRATION NUMBER N776KC, WHILE LANDING, MADE CONTACT WITH RUNWAY SURFACE WITH LANDING GEAR PARTIALLY EXTENDED AT KSAT IN SAN ANTONIO, TX. VISUAL METEORLOGICAL CONDITIONS PREVAILED AT THE TIME. THE AIRCRAFT SUSTAINED MINOR DAMAGE. THE AIRMAN WAS NOT INJURED. FAA ONSITE INVESTIGATION REVEALED THE LEFT GEAR WAS DOWN AND LOCKED. THE RIGHT GEAR AND NOSE GEAR WERE ONLY PARTIALLY EXTENDED AND ALL PROPELLER BLADES WERE DAMAGED. AIRMAN TOLD A WITNESS AT THE SCENE THAT HE MAY HAVE FORGOT TO PUT THE LANDING GEAR DOWN. AIRMAN TOLD THE FAA INSPECTOR ON SCENE THAT HE WAS NOT SURE IF HE HAD PUT THE GEAR DOWN. OTHER WITNESSES STATED THEY OBSERVED THE LANDING GEAR NOT BEING EXTENDED ON FINAL APPROACH AND PRIOR TO THE AIRCRAFT CONTACTING THE RUNWAY. ATC RECORDING WAS REVIEWED AND VOICE OF PILOT STATED ""I MADE A GEAR UP LANDING"".",,,,,,,,
20190515004639A,AIRCRAFT TOOK OFF FROM BJC TO FNL UTILIZING A SPECIAL FLIGHT PERMIT. ON DECENT TO FNL THE PILOT REPORTED ENGINE FAILURE AND SMOKE IN THE COCKPIT. APPROXIMATELY 45 SECONDS LATER THE AIRCRAFT IMPACTED THE GROUND NORTH EAST OF RUNWAY 15. THE AIRCRAFT WAS DESTROYED IN POST CRASH FIRE AND PILOT SUSTAINED FATAL INJURIES,,,,,,,,
20190515004659I,"N50590 DEPARTED GREENVILLE DOWNTOWN AIRPORT (GMU) AT APPROXIMATELY 0954 FOR A TRAINING FLIGHT.  THE FLIGHT PATH WAS OVER GREENVILLE CITY, NORTHERN EASLEY AND THE CLEMSON AIRPORT AND ARRIVED BACK AT GMU AROUND 1109. DURING THE POST FLIGHT INSPECTION, THEY OBSERVED A HOLE UNDER THE RIGHT WING OF THE AIRCRAFT.  THE HOLE APPEARED TO BE FROM A BULLET THAT ENTERED THROUGH THE BOTTOM OF THE WING AND EXITED THROUGH THE TOP.  A POLICE REPORT WAS FILED WITH THE GREENVILLE CITY POLICE DEPARTMENT.",,,,,,,,
20190515004669A,"DURING THE INTERVIEW OF THE AIRMAN, HE STATED THAT HE WAS LANDING ON RUNWAY 02 WITH A 17 KNOTS CROSSWIND FROM RIGHT SIDE. HE STATED THAT THE RUNWAY HAS HIGH CROWN FOR DRAINING AND HE LANDED JUST RIGHT OF THE CENTERLINE, TO ADJUST FOR THE CROSSWIND. ACCORDING TO AIRMAN, THE AIRCRAFT SOMEHOW VEERED TO THE RIGHT SIDE INTO DRAINAGE DITCH. AIRMAN SAID AIRCRAFT HAD ALMOST CAME TO A COMPLETE STOP BEFORE THE NOSE WHEEL SANK INTO MUD AND AIRCRAFT TIPPED OVER ONTO BACK. THE AIRMAN REPORTED NO MECHANICAL IRREGULARITIES. AIRCRAFT FUSELAGE, TAIL AND LEFT WING SUFFERED SUBSTANTIAL DAMAGE. ",,,,,,,,
,,,,,,,,,
"THERE IS NO REPORTED OR RECORDED WEATHER FOR THE AIRPORT WHERE THE ACCIDENT OCCURRED.  USING THE WEATHER AT KLVJ, WHICH IS 5 NM TO THE NORTHWEST, THE CROSSWIND COMPONENT WOULD BE 12 KNOTS AND THE WEATHER AT KAXH, WHICH IS 8 NM TO WEST THE CROSSWIND COMPONENT WOULD BE 5 KNOTS.",,,,,,,,,
20190515004679A,"THE AIRCRAFT WAS CONDUCTING DISPENSING OPERATIONS. UPON APPROACH, THE AIRCRAFT STRUCK A POWER LINE AND CRASHED INTO THE FIELD. THE AIRCRAFT WAS SUBSEQUENTLY DESTROYED IN A POST-CRASH FIRE",,,,,,,,
20190515004689I,"ON MAY 15, 2019, AT APPROXIMATELY 1630 CST, AN AIR TRACTOR AT-502B, N6039S, REGISTERED TO TEXOMA SPRAYERS, WAS FORCED TO PERFORM AN EMERGENCY LANDING ON A FARM FIELD APPROXIMATELY 3.5 MILES EAST OF GRANDFIELD MUNICIPAL AIRPORT (1O1) AFTER RUNNING OUT OF FUEL IN FLIGHT. THE PILOT DEPARTED 1O1 WITH A FULL LOAD OF FUEL AND STATED HE HAD ENOUGH FUEL FOR 2 HOURS AND 15 MINUTES OF FLIGHT TIME. WHILE SPRAYING CHEMICAL ON THE LAST FIELD AND AFTER 2 HOURS OF FLIGHT TIME, THE PILOT MADE HIS LAST SWATH OF CHEMICAL APPLICATION AND BANKED THE AIRCRAFT FOR A RETURN TO 1O1. IT WAS AT THIS POINT THAT THE ENGINE LOST POWER AND THE PILOT ATTEMPTED TO RESTART THE ENGINE BY TURNING ON THE IGNITORS AND FUEL BOOST PUMP WHICH HAD NO EFFECT. THE PILOT THEN LOOKED FOR A GOOD PLACE TO PERFORM AN EMERGENCY LANDING AND DID SO ON A FLAT FIELD. DURING THE LANDING ROLLOUT, THE AIRCRAFT ENCOUNTERED A MUDDY AREA OF THE FIELD AND NOSED OVER ENOUGH TO WHERE THE PROPELLER MADE CONTACT WITH THE GROUND. THE AIRCRAFT SUSTAINED MINOR DAMAGE TO THE PROPELLER, LEFT FLAP, AND SPRAY BOOM. VISUAL METEOROLOGICAL CONDITIONS PREVAILED AT THE TIME AND NO FLIGHT PLAN WAS FILED. THE PILOT WAS THE ONLY ONE ON BOARD AND WAS NOT INJURED.",,,,,,,,
20190515004699A,"ON MAY 5, 2019, ^PRIVACY DATA OMITTED^ PILOTED N236AM AND IMPACTED TERRAIN FOR UNKNOWN REASONS.  THE FAA AND NTSB WERE UNABLE TO ACCESS SITE ON THE GROUND DUE TO STEEP TERRAIN GRADIENTS.  NTSB PHOTOGRAPHED AND DOCUMENTED VIA HELICOPTER.  THE INVESTIGATION IS ON GOING.",,,,,,,,
20190515006519A,"INSTRUCTOR PILOT (IP) AND STUDENT (ST) WERE CONDUCTING LANDING PRACTICE BY UTILIZING TOUCH AND GO LANDINGS.  ON THE SEVENTH DOWNWIND THE STUDENT ATTEMPTED TO EXTEND THE LANDING GEAR.  THE MAIN LANDING GEAR EXTENDED, WHILE THE NOSE GEAR REMAINED RETRACTED.   THE IP ATTEMPTED TO PROCEED THROUGH THE CHECKLIST AND TROUBLESHOOT THE LANDING GEAR ISSUE FOR AN EXTENDED PERIOD OF TIME.   THE IP AND STUDENT WERE UNSUCCESSFUL IN EXTENDING THE NOSE WHEEL.   THE MAIN LANDING GEAR WOULD NOT RETRACT BY THIS TIME.   THE IP ATTEMPTED A LANDING IN THE GRASS TO THE RIGHT OF RUNWAY 9 AT THE ENL AIRPORT. UPON TOUCHDOWN THE AIRCRAFT FLIPPED OVER COMING TO REST INVERTED AND HEADING 268 DEGREES.   IT HAD BEEN RAINING FOR MULTIPLE DAYS PRIOR TO THE ACCIDENT.",,,,,,,,
20190515011069A,"ON MAY 15, 2019, THIS OFFICE RECEIVED NOTIFICATION OF A BELL 206 N26BB CRASHED INTO THE HUDSON RIVER SHORELINE. ONE PERSON ON BOARD. (PIC). FAA TETERBORO OFFICE MANAGER NOTIFIED. ZIP AVIATION OPERATION LOCATED NEW JERSEY. HELICOPTER WAS REMOVED FROM THE ACCIDENT LOCATION W30TH STREET AND THE HUDSON RIVER, NYC. BY THE ARMY CORE OF ENGINEERS TO 39TH STREET PIERS IN BROOKLYN, NY. FUEL SAMPLES COLLECTED. FLIGHT LOG BINDER RECOVERED AND SECURED. THE HELICOPTER WAS TRANSPORTED TO THE NYPD AVIATION UNIT. HELICOPTER WAS RINSED WITH WATER AND A OIL TYPE SPRAY WAS APPLIED AS PER REQUEST FROM NTSB. ON MAY 18 2019, THE NTSB RELEASED THE HELICOPTER TO THE INSURANCE COMPANY. THE PIC WAS INTERVIEWED AT REPUBLIC AIRPORT EA-11 FSDO. THE PILOT PROVIDED BOTH WRITTEN AND VERBAL STATEMENTS. ",,,,,,,,
"THE PILOT STATED HE HAD JUST REFUELED ON THE FUEL DECK ON THE SOUTH SIDE OF JRA AND WAS REPOSITIONING THE HELICOPTER TO SPOT #4 ON THE NORTHER SIDE OF THE TRAILER THAT SERVED AS THE OFFICE AND PASSENGER PICK UP TO PICK UP A PASSENGER. HIS APPROACH TOOK HIM OVER THE RIVER TO LAND SPOT #4. AS THE PILOT WAS ENTERING THE FINAL PHASE OF THE APPROACH, HE STATED THAT THE WIND WAS DECREASING THE TAIL ROTOR AUTHORITY; THE ONSET OF LTE (LOSS OF TAIL ROTOR EFFECTIVENESS).THE NOSE OF THE HELICOPTER BEGAN TO YAW TO THE RIGHT, AND APPLICATION OF FULL LEFT PEDAL FAILED TO ARREST THE YAW. THE HELICOPTER THEN ENTERED AN UNCONTROLLED SPIN. THE PILOT DEPLOYED THE FLOATS (HELICOPTER EQUIPMENT EMERGENCY FLOATATION). THE PILOT REPORTED THAT HE DID NOT EXPERIENCE ANY MECHANICAL MALFUNCTIONS OR FAILURES WITH THE HELICOPTER. MAINTENANCE RECORDS REVIEWED THAT THE BELL 206L4 MANUFACTURED 2017 IS MAINTAINED UTILIZING A MANUFACTURES? CONTINUED AIRWORTHINESS PROGRAM. AIRCRAFT AND ENGINE TOTAL TIME AT THE TIME OF THE ACCIDENT IS 580.8, ENGINE CYCLES 755, LANDINGS 1900AND RIN?S 3800. THE RECORDS SHOW THE LAST 180 DAY / 500 HOUR FLOAT INSPECTION WAS COMPLIED WITH ON 1/28/2019.",,,,,,,,,
20190515011089A,"ON WEDNESDAY, MAY 15, 2019, AT APPROXIMATELY 1830 CDT, N761AF, REGISTERED TO ARKANSAS CHILDREN? HOSPITAL, AND OPERATED BY ARKANSAS CHILDREN?S HOSPITAL (Z1RA), DEPARTED FROM ARKANSAS CHILDREN?S HOSPITAL IN SPRINGDALE (14AR) AND WAS TRANSPORTING A PATIENT TO ARKANSAS CHILDREN?S HOSPITAL IN LITTLE ROCK (AR62).  WHILE ENROUTE, THE CREW RECEIVED A FIRE ANNUNCIATOR FOR THE BAGGAGE COMPARTMENT AND MADE AN EMERGENCY LANDING AT THE MORRILTON MUNICIPAL AIRPORT (KBDQ).  UPON INSPECTION OF THE AIRCRAFT, IT WAS DETERMINED THAT THE EXHAUST TAIL PIPE FROM THE NUMBER 2 ENGINE WAS DISCONNECTED AND REMOVED FROM ITS SEATED POSITION.  THIS CAUSED EXHAUST FROM THE NUMBER 2 ENGINE TO BE DUMPED INTO THE COMPARTMENT CONTAINING THE TAIL ROTOR DRIVESHAFT AND CAUSED HEAT DAMAGE TO THE SURROUNDING AREAS.  THE DAMAGE SUSTAINED TO THE TAIL ROTOR DRIVESHAFT AND BEARINGS REVEALED THAT FAILURE OF THE TAIL ROTOR SYSTEM WAS IMMINENT.  THE AIRCRAFT WAS LANDED SAFELY AND THERE WERE NO INJURIES TO THE CREW AND PASSENGERS",,,,,,,,
20190515024112A,TWO AGRICULTURAL AIRCRAFT COLLIDED IN PLEASANT GROVE CALIFORNIA RESULTING IN TWO FATALITIES.,,,,,,,,
20190516004409A,"PILOT DEPARTED ANDERSON, SC (AND) WITH LEFT AND RIGHT TANKS FULL OF FUEL WITH A PLANNED DESTINATION TO ORLANDO EXECUTIVE (ORL).  THE PILOT STATED IT HAD BEEN SEVERAL YEARS SINCE THE ANNUAL HAD BEEN DONE AND THAT WAS WHY HE WAS FLYING THE AIRCRAFT TO ORL.  I VERIFIED THE AIRCRAFT LOGBOOKS REFLECTED THE LAST ANNUAL INSPECTION WAS COMPLIED WITH ON 12/18/2014.  THE PILOT STATED HE WAS THE AIRCRAFT OWNER AND PURCHASED THE AIRCRAFT THREE WEEKS PRIOR TO THE FLIGHT AND DID NOT HAVE A PRE-BUY INSPECTION COMPLETED.  THE PILOT STATED HE DID NOT NEED TO MAKE ANY STOPS FOR ADDITIONAL FUEL, BECAUSE HE KNEW HE HAD ENOUGH TO MAKE THE FLIGHT TO ORL.  THE PILOT STATED THE AIRCRAFT ENGINE ACTED LIKE IT WAS RUNNING OUT OF FUEL AND HE NOTICED ACCORDING TO THE FUEL GAGE, THE LEFT WAS EMPTY SO HE SWITCH TO THE RIGHT, DECLARED AND EMERGENCY AND LOOKED FOR THE BEST PLACE TO LAND.  THE AIRCRAFT LANDED, HITTING A CAR, BETWEEN TWO ON RAMP ENTRANCES TO I-4 WEST BOUND FROM KELLER ROAD IN MAITLAND DUE TO FUEL DEPLETION.   THE PROPELLER WAS NOT TURNING AND THE ENGINE WAS NOT RUNNING WHEN THE AIRCRAFT LANDED.  THERE NO FUEL IN THE AIRCRAFT, THE RIGHT LANDING GEAR SHEARED OFF, AND THE RIGHT WING SUFFERED SUBSTANTIAL DAMAGE TO INCLUDE LEADING EDGE TORN, BUCKED, WRINGED SKIN.  THE RIGHT SIDE OF THE ENGINE SKIN AND COWLING WERE ALSO BUCKLED AND TORN AS WELL AS SKIN BUCKLING NEAR THE WINDSHIELD.",,,,,,,,
20190516004709I,"ON MAY 15, 2019, THE PILOT LANDED N9007Y A PIPER PA31-310 ON RUNWAY 31 AT THE MILBANK SOUTH DAKOTA MUNICIPAL AIRPORT. THE PILOT FAILED TO EXTEND THE LANDING GEAR RESULTING IN THE GEAR UP INCIDENT. THE FLIGHT WAS CONDUCTED UNDER 14 CFR PART 135 ON-DEMAND OPERATIONS WITH THREE PASSENGERS ON BOARD NONE WERE INJURED IN THE INCIDENT.",,,,,,,,
20190516004719I,"N3555N DEPARTED FULTON COUNTY MUNICIPAL AIRPORT IN MISSOURI (KFTT) ON MAY 16, 2019 AT 10:50 CDT VFR DIRECT TO ANN ARBOR MUNICIPAL AIRPORT, MICHIGAN (KARB). THE PRE TAKE OFF RUN-UP AND GROUND CHECKS WERE NORMAL AND ALL SYSTEMS PERFORMED AS EXPECTED. PILOT HAD FULL FUEL OF 64 GALLONS ON BOARD AND WITH ONLY HIMSELF AND A SMALL AMOUNT OF LUGGAGE ABOARD.",,,,,,,,
