c5,c1,c2,c3,c4,c6,c7,c8,c9,c10,c75,c132,c134,c136,c138,c139,c140,c141,c144,c145,c147,c149,c151,c152,c153,c155,c157,c160,c162,c203,c204,c214,c233,c234,c790,c22,c23,c24,c25,c26,c27,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c102,c104,c106,c108,c110,c112,c113,c114,c115,c117,c118,c143,c240,c241,c242,c243,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c76,c250,c205,c206,c207,c208,c210,c41,c43,c45,c47,c49,c50,c52,c53,c54,c55,c56,c57,c58,c59,c119,c120,c121,c122,c126,c127,c128,c129,c130,c78,c80,c82,c84,c86,c88,c90,c92,c94,c96,c98,c100,c111,c123,c124,c125,c184,c192,c244,c40,c44,c46,c48,c51,c77,c79,c81,c83,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c156,c158,c161,c163,c183,c191,c229,c230,end_of_record,
20190122000439A,A,91,   , ,2019,1,22,20190122,903,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,220765,43, , , , ,7640D,PIPER ,PA-22-150   ,      ,        ,  ,STRD,2036,* ,  ,LYCOMI,0-320 SERIES ,UNKOWN,        ,  ,     ,AL,AL05,AK,ANCHORAGE      ,,,ANC ,,,60 55N,15011W,,,,,,,,,,,,ANC ,,,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,20190604,,,,20190604,1,N,,,,,,712,,30,712,,,,"AIRCRAFT WAS IN CRUISE FLIGHT HEADED NORTH OVER THE WATER OF TURNAGAIN ARM, INBOUND INTO ANCHORAGE.  PILOT SMELLED ",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,CR,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Cruise/Level Flight ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19580805,, ,
20190118000279A,A,91,   , ,2019,1,18,20190118,1510,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,220701,27, , , , ,6497P,PIPER ,PA-24-250   ,      ,        ,  ,STRD,6772,* ,  ,LYCOMI,0-540 SERIES ,      ,        ,  ,     ,GL,GL13,WI,BEECHWOOD      ,,,,,,43 36N,88 6 W,,,,,,,,,,,,,,,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,20190529,,,20190618,20190827,1,Y,,,,,,20,,55,200,,,,"ON JANUARY 18, 2019 A HOLDER OF PRIVATE PILOT CERTIFICATE WAS PILOT IN COMMAND OF AN AIRCRAFT ACCIDENT INVOLVING N6",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,CR,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Cruise/Level Flight ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19541009,, ,
20190113000229A,A,91,   , ,2019,1,13,20190113,1416,9, , , , , , ,   ,1L71,1,L,7,1,3O  , , ,TR,  ,  ,220685,22, , , , ,5093C,BEECH ,B35         ,      ,        ,  ,STRD,5488,* ,  ,CONT M,I0-470 SERIES,      ,        ,  ,     ,NM,NM01,WA,PORT HADLOCK   ,,,0S9 ,,,43 3 N,12248W,,,,,,,,,,,,0S9 ,,,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,20190528,,,20190528,20190528,F3,N,,,,,,1190,,6,2712,,,,UPON CLIMB OUT DOOR OPENED AND PILOT ATTEMPTED TO CLOSE THE DOOR WHEN SUDDENLY THE AIRCRAFT LOST POWER AND PILOT IN,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TC,S, ,   , , , , , , ,COMM PILOT FLIGHT IN,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Climb Out  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19310712,, ,
20190115000219A,A,91,   , ,2019,1,15,20190115,1043,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,220684,21, , , , ,1697J,PIPER ,PA-28-140   ,      ,        ,  ,STRD,2080,* ,  ,LYCOMI,0-320 SERIES ,      ,        ,  ,     ,NM,NM07,UT,SALT LAKE CITY ,SOUTH VALLEY REGIONAL         ,,U42 ,,,,,,,,,,,,,,,,U42 ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20190528,,,,20190528,F3,N,,,,,,20,,135,135,,,,"PILOT INITIATED APPROACH AT 2.2NM OUT HIGH, (U42): PULLED THROTTLE BACK TO REDUCE RPM, ENGINE DID NOT RESPOND AND R",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LA,S, ,   , , , , , , ,COMM PILOT FLIGHT IN,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Approach   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19760704,, ,
20190119000289A,A,91,   , ,2019,1,19,20190119,1332,9, , , , , , ,   ,    , , , ,,    , , ,CV,  ,  ,220704,28, , , , ,3298Z,PIPER ,PA-18       ,      ,        ,  ,STRD,,* ,  ,CONT M,C90 SERIES   ,      ,        ,  ,     ,GL,GL09,MI,IRON MOUTAIN   ,,,,,,54 49N,87 58W,,,,,,,,,,,,,,,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,20190529,,,,20190529,9,N,,,,,,1250,,40,15196,,,,"ON JANUARY 19, 2019 AT 13:15 CENTRAL STANDARD TIME (CST), A PIPER PA-18 AIRCRAFT, N3298Z, REGISTERED TO AN INDIVIDU",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,MN,S, ,   , , , , , , ,AIRLINE TRANSPORT   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Maneuver            ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19560905,, ,
20190119000299A,A,91,   , ,2019,1,19,20190119,909,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,CV,  ,  ,220707,29, , , , ,11852,BELLAN,7ECA        ,      ,        ,  ,STRD,,* ,  ,LYCOMI,0-235 SERIES ,      ,        ,  ,     ,WP,WP21,CA,CHINO          ,CHINO                         ,,CNO ,,,,,,,,,,,,,,,,CNO ,,,,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20190529,,,,20190529,1,N,,,,,,141,,7,1582,,,,A PILOT WAS RETURNING TO CHINO AIRPORT (KCNO) FROM A LOCAL FLIGHT IN HIS BELLANCA 7ECA AIRCRAFT WHEN HE WAS CLEARED,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19400528,, ,
20190119000309A,A,91,   , ,2019,1,19,20190119,1128,9, , , , , , ,   ,    , , , ,,    , , ,CV,  ,  ,220708,30, , , , ,97969,STINSO,108-1       ,      ,        ,  ,STRD,2457,* ,  ,FRANKL,6A4150 SERIES,N/A   ,        ,  ,     ,GL,GL13,WI,SHAWANO        ,,,,,,44 59N,88 36W,,,,,,,,,,,,,,,,,4,3,0,2,1,0,1,0,0,0,0,0,0,0,0,3,20190529,,,,20190529,1,N,,,,,,22,,35,3465,,,,"THE PILOT IN COMMAND STATED THAT ON JANUARY 18, 2019 HE WENT TO BED AT 2130 AND WOKE UP ON JANUARY 19, 2019 AT 0630",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,CR,D, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Cruise/Level Flight ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19770701,, ,
20190119000319A,A,91,   , ,2019,1,19,20190119,1700,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,220709,31, , , , ,734AY,CESSNA,172N        ,      ,        ,  ,STRD,6008,* ,  ,LYCOMI,0-320 SERIES ,      ,        ,  ,     ,SO,SO19,FL,TAMIAMI        ,,,TMB ,,,,,,,,,,,,,,,,TMB ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20190529,,,,20190529,XX,Y,,,,,,,,,,,,,STUDENT PILOT DAVIKA CHAUDHARYWAS ON A CROSS COUNTRY FLIGHT TO PGD AND BACK.  DAVIKA WAS INSTRUCTED BY ATC TO FOLLO,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LR,S, ,   , , , , , , ,STUDENT             ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Rollout    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19990801,, ,
20190123000329A,A,O  ,   , ,2019,1,23,20190123,1730,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,220745,32, , , , ,736TB,CESSNA,R172K       ,      ,        ,  ,STRD,7163,* ,  ,CONT M,IO-360 SER   ,      ,        ,  ,     ,NM,NM07,UT,OGDEN          ,"OGDEN, MUNI                   ",,OGD ,,,,,,,,,,,,,,,,OGD ,,,,,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,20190604,,,,20190604,F3,N,,,,,,231,,34,248,,,,FLIGHT INSTRUCTOR AND STUDENT WERE DOING TOUCH AND GOES ON RUNWAY 17 AT OGDEN MUNICIPAL AIRPORT. THEY LANDED AND RE,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LR,S, ,   , , , , , , ,COMM PILOT FLIGHT IN,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Rollout    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19920305,, ,
20190123000339A,A,91,   , ,2019,1,23,20190123,1140,9, , , , , , ,   ,    , , , ,,    , , ,SD,  ,  ,220746,33, , , , ,8227J,BELL  ,206L-3      ,      ,        ,  ,STRD,,* ,  ,ALLISO,250-C30 SER  ,      ,        ,  ,     ,NM,NM09,OR,ASHLAND        ,ROGUE VALLEY INTERNATIONAL MED,,MFR ,,,03 57N,12235W,,,,,,,,,,,,MFR ,,,,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,20190604,,,20190614,20190617,,N,,,,,,,,,,,,,"ON 01/23/2019, A PILOT WAS OPERATING AIRCRAFT FROM MFR, HOME BASE, UNDER PART 91, BUILDING HOURS. WHILE FLYING AT A",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,MN,D, ,   , , , , , , ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Maneuver            ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Skids                         ,                    ,                    ,                    ,                    ,,, ,
20190125000349A,A,91,   , ,2019,1,25,20190125,1600,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,220748,34, , , , ,736QV,CESSNA,R172K       ,      ,        ,  ,STRD,3605,* ,  ,CONT M,IO-360 SER   ,      ,        ,  ,     ,NM,NM09,OR,TROUTDALE      ,TROUTDALE AIRPORT             ,,KTTD,,,,,,,,,,,,,,,,KTTD,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20190604,,,20190604,20190604,XX,Y,,,,,,84,,21,133,,,,THE STUDENT PILOT EXECUTED THREE TOUCH AND GOES WITH INSTRUCTOR ON BOARD. THE INSTRUCTOR EXITED AIRCRAFT FOR THE ST,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,S, ,   , , , , , , ,STUDENT             ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19411001,, ,
20190125000359A,A,91,   , ,2019,1,25,20190125,1429,9, , , , , , ,   ,1L71,1,L,7,1,3O  , , ,TR,  ,  ,220750,35, , , , ,1332J,ROCKWE,112A        ,      ,        ,  ,STRD,3515,* ,  ,LYCOMI,I0360 SER    ,IO-360,        ,  ,     ,NM,NM09,OR,GOVERNMENT CAMP,,,,,,45 22N,12140W,,,,,,,,,,,,,,,,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,20190604,,,,20190604,1,N,,,,,,,,,1333,,,,"ATC DATA INDICATES THE FLIGHT ORIGINATED FROM PORTLAND-TROUTDALE AIRPORT (TTD), AT APPROXIMATELY 1420 PST.  THE AIR",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,CR,D, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Cruise/Level Flight ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19550513,, ,
20190125000369I,I,91,   , ,2019,1,25,20190125,1620,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,220751,36, , , , ,2846G,PIPER ,PA-28-181   ,      ,        ,  ,STRD,3867,* ,  ,LYCOMI,O&VO-360 SER ,      ,        ,  ,     ,EA,EA39,NC,MORRISVILLE    ,RALEIGH-DURHAM INTL           ,,RDU ,,,35 52N,07846W,,,,,,,,,,DRY,,RDU ,,,,,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20190604,,,,20190604,1,N,,,,,,121,,6,121,,,,FAR PART 91 FLIGHT FROM DANVILLE VIRGINIA (KDAN) TO RALEIGH-DURHAM INTERNATIONAL AIRPORT (KRDU).  TWO RATED PRIVATE,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LR,M, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Rollout    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19941109,, ,
20190126000379A,A,91,   , ,2019,1,26,20190126,1730,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,220752,37, , , , ,6166W,PIPER ,PA-28-140   ,      ,        ,  ,STRD,3650,* ,  ,LYCOMI,0-320 SERIES ,      ,        ,  ,     ,EA,EA21,VA,WILLIAMSBURG   ,WILLIAMSBURG JAMESTOWN        ,,JGG ,,,37 14N,76 42W,,,,,,,,,,,,JGG ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20190604,,,,20190604,1,N,,,,,,500,,15,600,,,,"AIRCRAFT WAS HIGH ON FINAL,  PILOT DECIDED TO DO A GO-AROUND. PILOT EXECUTED A GO-AROUND BUT DID NOT HAVE POWER. PI",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LA,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Approach   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19690925,, ,
20190126000399A,A,91,   , ,2019,1,26,20190126,1100,9, , , , , , ,   ,1L71,1,L,7,1,3O  , , ,TR,  ,  ,220755,39, , , , ,24682,BEECH ,B19         ,      ,        ,  ,STRD,,* ,  ,LYCOMI,0-320 SERIES ,      ,        ,  ,     ,WP,WP01,CA,PACOIMA        ,WHITEMAN                      ,,WHP ,,,,,,,,,,,,,,,,WHP ,,,,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20190604,,,,20190604,1,N,,,,,,,,,,,,,ON 01/26/2019 N24682 WAS LANDING AT WHP AIRPORT WITH GUSTY CROSS WINDS FROM THE NORTH.  A GO AROUND WAS PERFORMED. ,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LR,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Rollout    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19660618,, ,
20190129000469A,A,91,   , ,2019,1,29,20190129,1427,9, , , , , , ,   ,    , , , ,,    , , ,CV,  ,  ,220789,46, , , , ,949TS,EMMET ,ROADRUNNER  ,      ,        ,  ,EXPT,160,* ,  ,LYCOMI,HIO-360-B1A  ,      ,        ,  ,     ,WP,WP19,CA,TRUCKEE        ,TRUCKEE-TAHOE                 ,20,TRK ,,,,,,,,,,,,,,DRY,,TRK ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20190606,,,,20190606,1,N,,,,,,160,,22,1433,,,,PILOT ENCOUNTERED A DEVIATION FROM A STRAIGHT LANDING AND MOMENTARILY LOST CONTROL RESULTING IN DEPARTING THE RUNWA,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LR,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Rollout    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19490419,, ,
20190201000479A,A,91,   , ,2019,2,1,20190201,2023,9, , , , , , ,   ,    , , , ,,    , , ,CV,  ,  ,220791,47, , , , ,2333M,PIPER ,PA-12       ,      ,        ,  ,STRD,1510,* ,  ,LYCOMI,0-235 SERIES ,      ,        ,  ,     ,NM,NM07,UT,ST. GEORGE     ,ST GEORGE RGNL                ,,SGU ,,,,,,,,,,,,,,SNU,,SGU ,,,,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20190606,,,,20190606,1,N,,,,,,90,,6,3855,,,,AIRCRAFT FLIPPED OVER ATTEMPTING LANDING ON SNOW PACKED PRIVATE STRIP NEAR SGU.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190201000489A,A,91,   , ,2019,2,1,20190201,1355,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,220792,48, , , , ,536RH,HANSEN,RANS S-12XL ,      ,        ,  ,EXPT,110,* ,  ,      ,             ,      ,        ,  ,     ,SW,SW01,NM,SOCORRO        ,SOCORRO MUNI                  ,,ONM ,,,,,,,,,,,,,,,,ONM ,,,,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,20190606,,,,20190606,1,N,,,,,,1,,,,,,,"ON FEBRUARY 2, 2019, AT 1355 MST,  A HANSEN RONALD L, RANS S-12XL , N536RH, REGISTERED TO EDDIE SIGMAN, CRASHED WHI",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TC,D, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Climb Out  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19431201,, ,
20190126000429I,I,141,   , ,2019,1,26,20190126,1750,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,220764,42, , , , ,401DS,PIPER ,PA-34-200   ,      ,        ,  ,STRD,,* ,  ,LYCOMI,I0360 SER    ,      ,        ,  ,     ,EA,EA17,DE,DOVER          ,,,33N ,,,,,,,,,,,,,,,,33N ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20190604,,,20190604,20190604,,N,,,,,,,,,,,,,DURING FLIGHT TRAINING AN INSTRUCTOR AND A MULTI ENGINE STUDENT ENTERED ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190127000389A,A,91,   , ,2019,1,27,20190127,1615,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,CV,  ,  ,220753,38, , , , ,4087V,CESSNA,170,      ,        ,  ,STRD,,* ,  ,CONT M,C145 SERIES  ,      ,        ,  ,     ,NM,NM13,WA,YAKIMA         ,YAKIMA AIR TERMINAL/MCALLISTER,,YKM ,,,,,,,,,,,,,,,,YKM ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20190604,,,20190520,20190604,1,N,,,,,,,,,,,,,ENGINE LOST POWER NEAR YKM AIRPORT AND LANDED OFF-FIELD. PILOT HAD NEGLECTED TO ENGAGE THE BOOST PUMP AFTER SWITCHI,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LA,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Approach   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19450525,, ,
20190204000509A,A,91,   , ,2019,2,4,20190204,1645,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,220817,50, , , , ,9525V,CESSNA,172R        ,      ,        ,  ,STRD,6581,* ,  ,LYCOMI,I0360 SER A&C,      ,        ,  ,     ,EA,EA21,VA,HANOVER        ,,,OFP ,,,,,,,,,,,,,,,,OFP ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20190610,,,,20190610,XX,Y,,,,,,35,,4,35,,,,AICRAFT WAS TAXING WHEN THE PILOT LOST CONTROL AND THE AIRCRAFT WENT OFF THE TAXIWAY INTO A DITCH AND STRUCK A FENC,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TX,S, ,   , , , , , , ,STUDENT             ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Taxi                ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19871114,, ,
20190316000499A,A,91,   , ,2019,3,16,20190316,1520,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,220809,49, , , , ,7095S,CESSNA,150H        ,      ,        ,  ,STRD,3250,* ,  ,      ,             ,      ,        ,  ,     ,AL,AL03,AK,TALKEETNA      ,TALKEETNA AP                  ,,TKA ,,,62 19N,15004W,,,,,,,,,,,,TKA ,,,,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20190610,,,20190626,20200205,F1,N,,,,,,50,,75,950,,,,THE CFI (PILOT) WAS CONDUCTING AN INTRODUCTORY FLIGHT LESSON TO A NEW STUDENT. SHE ADDED THAT SHE WAS IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190830018019A,A,91,   , ,2019,8,30,20190830,1252,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,CV,  ,  ,223082,1801, , , , ,25100,LUSCOM,8A          ,      ,        ,  ,STRD,3163,* ,  ,CONT M,A&C65 SERIES ,      ,        ,  ,     ,WP,WP07,AZ,PRESCOTT       ,ERNEST A LOVE FIELD           ,,PRC ,,,,,,,,,,,,,,,,PRC ,,,,,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20200413,,,20200408,20200413,F1,N,,,,,,52,,42,570,,,,ACCIDENT INVESTIGATION N25100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
